"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus","OverTime","Age_Group","DRate_Group","DistanceFromHome_Group","Education_Group","EmployeeNumber_Group","EnvironmentSat_Group","HourlyRate_Group","JobInvolvement_Group","JobLevel_Group","JobSatisfaction_Group","MonthlyIncome_Group","MonthlyRate_Group","NumCompaniesWorked_Group","PercentSalaryHike_Group","PerformanceRating_Group","RelationshipSatisfaction_Group","StockOptionLevel_Group","TotalWorkingYears_Group","TrainingTimesLastYear_Group","WorkLifeBalance_Group","YearsAtCompany_Group","YearsInCurrentRole_Group","YearsSinceLastPromotion_Group","YearsWithCurrManager_Group"
"1","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married","No","young","high","long","1","high","satisfactory","high","3","2","satisfactory","medium","low","large","[14,18)","3","3","2","[0,6)","[2,3)","2","[0,3)","[0,2)","[1,15]","[2,3)"
"2","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married","No","elder","high","long","4","medium","satisfactory","high","3","2","satisfactory","low","high","large","[18,25]","4","2","1","[6,10)","[3,6]","3","[5,9)","[2,3)","[1,15]","[3,7)"
"3","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Single","No","elder","low","long","2","medium","satisfactory","medium","2","2","satisfactory","medium","low","large","[14,18)","3","1","0","[10,13)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"4","No","Non-Travel","Research & Development","Medical","Male","Healthcare Representative","Divorced","Yes","elder","low","medium","1","medium","satisfactory","low","2","4","unsatisfactory","high","high","medium","[14,18)","3","4","1","[10,13)","[3,6]","3","[9,40]","[7,18]","[1,15]","[0,2)"
"5","No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","Single","No","mid","medium","long","3","high","satisfactory","high","2","3","unsatisfactory","high","high","medium","[18,25]","3","4","0","[10,13)","[3,6]","1","[9,40]","[7,18]","[1,15]","[3,7)"
"6","No","Travel_Rarely","Sales","Marketing","Female","Manager","Married","No","elder","high","long","4","medium","unsatisfactory","medium","3","4","satisfactory","high","low","medium","[14,18)","3","3","1","[10,13)","[2,3)","2","[9,40]","[3,7)","[1,15]","[3,7)"
"7","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Married","Yes","elder","medium","short","2","medium","satisfactory","low","2","2","satisfactory","medium","low","large","[12,14)","3","4","1","[6,10)","[3,6]","3","[3,5)","[3,7)","[0,1)","[2,3)"
"8","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Single","No","young","low","long","1","high","unsatisfactory","high","3","2","satisfactory","low","high","small","[14,18)","3","2","0","[0,6)","[2,3)","3","[3,5)","[3,7)","[1,15]","[2,3)"
"9","No","Travel_Rarely","Research & Development","Other","Female","Laboratory Technician","Married","No","mid","high","medium","2","high","satisfactory","low","2","1","satisfactory","medium","medium","medium","[11,12)","3","2","1","[0,6)","[3,6]","3","[5,9)","[3,7)","[0,1)","[3,7)"
"10","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Divorced","No","young","high","short","1","low","satisfactory","high","3","1","unsatisfactory","low","medium","small","[11,12)","3","2","1","[0,6)","[3,6]","3","[3,5)","[3,7)","[0,1)","[2,3)"
"11","No","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Single","No","mid","high","long","4","high","satisfactory","high","3","2","satisfactory","medium","high","large","[12,14)","3","3","0","[0,6)","[2,3)","4","[0,3)","[0,2)","[0,1)","[0,2)"
"12","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","Married","No","elder","high","short","4","low","satisfactory","high","3","5","satisfactory","high","medium","small","[14,18)","3","4","0","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"13","No","Non-Travel","Sales","Marketing","Female","Sales Executive","Married","No","young","high","long","2","medium","satisfactory","low","3","2","satisfactory","high","high","medium","[12,14)","3","4","1","[6,10)","[2,3)","2","[9,40]","[7,18]","[0,1)","[0,2)"
"14","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Divorced","No","mid","high","medium","4","low","satisfactory","low","3","2","satisfactory","high","high","small","[12,14)","3","4","0","[6,10)","[3,6]","3","[5,9)","[0,2)","[1,15]","[2,3)"
"15","No","Travel_Frequently","Human Resources","Human Resources","Male","Human Resources","Married","Yes","elder","medium","short","5","high","unsatisfactory","low","3","2","satisfactory","medium","medium","large","[11,12)","3","3","0","[13,28]","[3,6]","3","[9,40]","[7,18]","[0,1)","[2,3)"
"16","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Single","Yes","young","low","long","2","high","satisfactory","medium","2","1","satisfactory","low","medium","medium","[18,25]","4","2","0","[0,6)","[3,6]","2","[0,3)","[0,2)","[1,15]","[0,2)"
"17","No","Non-Travel","Research & Development","Life Sciences","Female","Laboratory Technician","Married","No","mid","high","short","3","medium","satisfactory","medium","2","1","unsatisfactory","low","low","large","[18,25]","4","3","0","[0,6)","[3,6]","3","[3,5)","[0,2)","[0,1)","[2,3)"
"18","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married","No","young","medium","long","3","medium","satisfactory","medium","2","2","satisfactory","high","low","medium","[18,25]","3","1","1","[10,13)","[3,6]","3","[9,40]","[3,7)","[1,15]","[3,7)"
"19","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","No","elder","low","short","2","high","unsatisfactory","high","3","2","unsatisfactory","medium","low","large","[14,18)","3","3","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"20","No","Travel_Frequently","Research & Development","Other","Male","Laboratory Technician","Married","No","elder","high","medium","2","low","unsatisfactory","high","3","1","satisfactory","low","low","large","[14,18)","3","4","1","[6,10)","[3,6]","3","[0,3)","[2,3)","[1,15]","[0,2)"
"21","No","Travel_Rarely","Research & Development","Life Sciences","Female","Healthcare Representative","Married","No","elder","medium","medium","3","low","satisfactory","low","3","3","unsatisfactory","high","low","large","[14,18)","3","1","1","[10,13)","[0,2)","2","[0,3)","[0,2)","[0,1)","[0,2)"
"22","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Divorced","Yes","young","medium","medium","3","high","unsatisfactory","low","2","2","unsatisfactory","medium","low","medium","[12,14)","3","2","1","[10,13)","[3,6]","2","[9,40]","[0,2)","[0,1)","[7,14]"
"23","No","Travel_Frequently","Research & Development","Medical","Male","Laboratory Technician","Single","No","elder","medium","long","4","medium","unsatisfactory","low","2","2","satisfactory","medium","medium","large","[14,18)","3","4","0","[10,13)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"24","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Divorced","No","mid","medium","long","3","medium","unsatisfactory","low","3","1","satisfactory","medium","low","medium","[18,25]","4","1","1","[0,6)","[3,6]","2","[3,5)","[2,3)","[1,15]","[2,3)"
"25","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married","No","young","high","medium","3","low","unsatisfactory","low","3","3","satisfactory","high","low","medium","[12,14)","3","3","1","[10,13)","[2,3)","3","[9,40]","[7,18]","[1,15]","[3,7)"
"26","No","Travel_Frequently","Research & Development","Medical","Female","Research Director","Married","Yes","elder","low","long","5","medium","unsatisfactory","medium","3","3","unsatisfactory","high","high","large","[14,18)","3","3","0","[13,28]","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"27","No","Non-Travel","Sales","Marketing","Male","Sales Executive","Married","No","elder","low","short","4","high","satisfactory","high","3","2","unsatisfactory","medium","low","large","[11,12)","3","4","1","[0,6)","[3,6]","1","[0,3)","[0,2)","[0,1)","[0,2)"
"28","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Married","Yes","mid","medium","short","1","high","satisfactory","medium","2","2","satisfactory","high","medium","large","[12,14)","3","3","0","[6,10)","[3,6]","2","[3,5)","[2,3)","[0,1)","[0,2)"
"29","No","Travel_Frequently","Research & Development","Medical","Male","Research Scientist","Married","No","mid","medium","short","3","low","unsatisfactory","high","3","1","unsatisfactory","low","low","large","[12,14)","3","4","1","[0,6)","[2,3)","2","[3,5)","[2,3)","[1,15]","[2,3)"
"30","Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single","Yes","young","medium","long","3","medium","satisfactory","high","2","1","unsatisfactory","low","medium","large","[18,25]","4","3","0","[0,6)","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
