"","ID","NBC","knn","RF","XGBoost","Linear_SVM","SVM_RBF"
"1",1,"1","0","0","0","0","0"
"2",2,"0","0","0","0","0","0"
"3",3,"1","1","0","0","0","1"
"4",4,"0","0","0","0","0","0"
"5",5,"1","1","1","1","1","1"
"6",6,"0","0","0","0","0","0"
"7",7,"1","1","1","1","1","1"
"8",8,"1","1","1","1","1","1"
"9",9,"1","1","1","1","1","1"
"10",10,"0","0","0","0","0","0"
"11",11,"1","1","1","1","1","1"
"12",12,"1","1","1","1","1","1"
"13",13,"0","0","0","0","0","0"
"14",14,"0","0","0","0","0","0"
"15",15,"1","0","1","1","1","1"
"16",16,"0","0","0","0","0","0"
"17",17,"0","0","0","0","0","0"
"18",18,"0","0","0","0","0","0"
"19",19,"0","0","0","0","0","0"
"20",20,"0","1","1","1","1","1"
"21",21,"0","0","0","0","0","0"
"22",22,"0","0","0","0","0","0"
"23",23,"1","1","1","1","0","1"
"24",24,"0","0","0","0","0","0"
"25",25,"0","1","0","0","0","0"
"26",26,"0","0","0","0","0","0"
"27",27,"0","0","0","0","0","0"
"28",28,"1","1","1","1","1","1"
"29",29,"1","1","1","1","1","1"
"30",30,"1","1","1","1","1","1"
"31",31,"1","0","0","0","1","0"
"32",32,"0","0","0","0","0","0"
"33",33,"1","1","1","0","1","1"
"34",34,"0","0","0","0","0","0"
"35",35,"0","0","0","0","0","0"
"36",36,"0","1","1","1","1","1"
"37",37,"1","1","1","1","1","1"
"38",38,"1","1","1","1","1","1"
"39",39,"0","0","0","1","0","0"
"40",40,"0","1","0","0","1","0"
"41",41,"0","0","0","0","0","0"
"42",42,"0","0","0","0","0","0"
"43",43,"1","1","1","1","1","1"
"44",44,"0","0","0","0","0","0"
"45",45,"0","0","0","1","1","1"
"46",46,"0","0","0","0","0","0"
"47",47,"0","0","0","0","0","0"
"48",48,"0","0","0","0","0","0"
"49",49,"0","0","0","1","1","0"
"50",50,"1","1","1","1","1","1"
"51",51,"0","0","0","0","0","0"
"52",52,"0","0","0","0","0","0"
"53",53,"0","0","0","0","0","0"
"54",54,"1","1","1","1","1","1"
"55",55,"1","1","1","1","1","1"
"56",56,"1","1","1","1","1","1"
"57",57,"0","0","0","0","0","0"
"58",58,"0","1","1","1","1","1"
"59",59,"1","0","0","0","0","0"
"60",60,"1","1","1","0","0","1"
"61",61,"0","0","0","0","0","0"
"62",62,"1","1","1","1","1","1"
"63",63,"0","0","0","0","0","0"
"64",64,"0","0","0","0","0","0"
"65",65,"0","0","0","0","0","0"
"66",66,"0","0","0","0","0","0"
"67",67,"0","0","0","0","0","0"
"68",68,"0","0","0","0","0","0"
"69",69,"0","0","1","1","1","1"
"70",70,"1","1","1","1","1","1"
"71",71,"1","0","0","0","0","0"
"72",72,"0","0","0","0","0","0"
"73",73,"1","1","1","1","1","1"
"74",74,"1","1","1","1","1","1"
"75",75,"0","0","0","0","0","0"
"76",76,"1","1","1","1","1","1"
"77",77,"0","0","0","0","0","0"
"78",78,"1","1","1","1","1","1"
"79",79,"1","1","1","1","1","1"
"80",80,"1","1","1","1","1","1"
"81",81,"0","0","0","0","0","0"
"82",82,"0","0","0","0","0","0"
"83",83,"0","0","0","0","0","0"
"84",84,"1","1","1","1","1","1"
"85",85,"1","1","1","1","1","1"
"86",86,"0","0","0","0","0","0"
"87",87,"1","1","1","1","1","1"
"88",88,"0","0","0","0","0","0"
"89",89,"0","0","0","0","0","0"
"90",90,"0","0","0","0","0","0"
"91",91,"0","1","1","1","1","1"
"92",92,"0","0","0","0","0","0"
"93",93,"0","0","0","0","0","0"
"94",94,"0","1","0","0","0","0"
"95",95,"1","1","1","1","1","1"
"96",96,"0","0","0","0","0","0"
"97",97,"1","1","1","1","1","1"
"98",98,"0","0","0","0","1","0"
"99",99,"0","0","0","0","0","0"
"100",100,"1","1","1","1","1","1"
"101",101,"0","0","0","1","1","0"
"102",102,"1","1","1","1","1","1"
"103",103,"1","1","1","1","1","1"
"104",104,"0","0","0","0","0","0"
"105",105,"0","0","0","0","0","0"
"106",106,"1","1","1","1","1","1"
"107",107,"0","0","0","0","0","0"
"108",108,"1","0","0","0","0","0"
"109",109,"0","0","0","0","0","0"
"110",110,"0","0","0","0","0","0"
"111",111,"0","0","0","0","0","0"
"112",112,"0","1","0","1","1","1"
"113",113,"0","0","0","0","0","0"
"114",114,"1","0","0","0","0","1"
"115",115,"0","0","1","1","1","1"
"116",116,"1","1","0","0","0","0"
"117",117,"0","0","0","0","0","0"
"118",118,"0","0","0","0","0","0"
"119",119,"0","0","0","1","1","1"
"120",120,"1","1","1","1","1","1"
"121",121,"1","1","1","1","1","1"
"122",122,"1","1","1","1","1","1"
"123",123,"1","1","1","1","1","1"
